Column1,Column2,Column3,
CTSN,Contract Transportation Systems National,"""CTSN"":""Contract Transportation Systems National"" ",
CTU,Cargo Transport Unit,"""CTU"":""Cargo Transport Unit"" ",
CU,Comprehensive Update,"""CU"":""Comprehensive Update"" ",
Custom Phrases,Custom Phrases,"""Custom Phrases"":""Custom Phrases"" ",
Customer Data,Customer Data,"""Customer Data"":""Customer Data"" ",
CV,CalendarView (12.0),"""CV"":""CalendarView (12.0)"" ",
CVD,Chemical Vapor Deposition,"""CVD"":""Chemical Vapor Deposition"" ",
CVI,Chemical Vulnerability Infiltration,"""CVI"":""Chemical Vulnerability Infiltration"" ",
CVS,Concurrent Version System,"""CVS"":""Concurrent Version System"" ",
CWA,Clean Water Act,"""CWA"":""Clean Water Act"" ",
CWQC,Company Wide Quality Control,"""CWQC"":""Company Wide Quality Control"" ",
CWT,Centum WeighT,"""CWT"":""Centum WeighT"" ",
Cycles per batch,Cycles per batch,"""Cycles per batch"":""Cycles per batch"" ",
CYGWIN,CYGWIN,"""CYGWIN"":""CYGWIN"" ",
DAD,Division Area District,"""DAD"":""Division Area District"" ",
DAM,DAM Maintenance,"""DAM"":""DAM Maintenance"" ",
DART,Days Away & Restricted Time ,"""DART"":""Days Away & Restricted Time "" ",
Dashboard ,Dashboard ,"""Dashboard "":""Dashboard "" ",
DB,Diversified Brands,"""DB"":""Diversified Brands"" ",
DB,Distressed Batch,"""DB"":""Distressed Batch"" ",
DBA,Database Administrator,"""DBA"":""Database Administrator"" ",
DBA,Design Basis Accident,"""DBA"":""Design Basis Accident"" ",
DBD,Diversified Brands Division,"""DBD"":""Diversified Brands Division"" ",
DBI,Daily Business Intelligence,"""DBI"":""Daily Business Intelligence"" ",
DC,Distribution Center,"""DC"":""Distribution Center"" ",
DCI,Data Center Inventory,"""DCI"":""Data Center Inventory"" ",
DCO,District Credit Office,"""DCO"":""District Credit Office"" ",
DCS,Division Customer Service,"""DCS"":""Division Customer Service"" ",
DCS,Division Customer Service,"""DCS"":""Division Customer Service"" ",
DDI,Distribution Data Inc,"""DDI"":""Distribution Data Inc"" ",
DDI,Dynamic Document Information,"""DDI"":""Dynamic Document Information"" ",
DDJS,Distributors/Dealers/Jobbers/Shops,"""DDJS"":""Distributors/Dealers/Jobbers/Shops"" ",
DDO,Days Deduction Outstanding,"""DDO"":""Days Deduction Outstanding"" ",
DDS,Distributed Disk Services (11.0) ,"""DDS"":""Distributed Disk Services (11.0) "" ",
DE,Delta E,"""DE"":""Delta E"" ",
DE,Destruction Efficiency,"""DE"":""Destruction Efficiency"" ",
Debit Types,Debit Types,"""Debit Types"":""Debit Types"" ",
DEC,Department of Environmental Conservation,"""DEC"":""Department of Environmental Conservation"" ",
DELFOR,Delivery Schedule,"""DELFOR"":""Delivery Schedule"" ",
DELJIT,Delivery Just In Time,"""DELJIT"":""Delivery Just In Time"" ",
DEP,Department of Environmental Protection,"""DEP"":""Department of Environmental Protection"" ",
DEQ,Department of Environmental Quality,"""DEQ"":""Department of Environmental Quality"" ",
DESADV,Dispatch Advice,"""DESADV"":""Dispatch Advice"" ",
Descartes,Descartes Route Planner ,"""Descartes"":""Descartes Route Planner "" ",
Desktop Document Imaging,OnBase Desktop Document Imaging (11.0),"""Desktop Document Imaging"":""OnBase Desktop Document Imaging (11.0)"" ",
Desktop Intelligence,Business Objects Desktop Intelligence,"""Desktop Intelligence"":""Business Objects Desktop Intelligence"" ",
DEV,Development,"""DEV"":""Development"" ",
DFA,Design For Assembly,"""DFA"":""Design For Assembly"" ",
DFM ,Design For Manufacturability,"""DFM "":""Design For Manufacturability"" ",
DFMEA,Design Failure Mode & Effect Analysis,"""DFMEA"":""Design Failure Mode & Effect Analysis"" ",
DFSS,Design for Six Sigma,"""DFSS"":""Design for Six Sigma"" ",
DHCP,Dynamic Host Configuration Protocol,"""DHCP"":""Dynamic Host Configuration Protocol"" ",
Digital Signatures,OnBase Digital Signatures (11.0),"""Digital Signatures"":""OnBase Digital Signatures (11.0)"" ",
DIO,Data Integrity Organization,"""DIO"":""Data Integrity Organization"" ",
DIP,Document Import Processor (11.0),"""DIP"":""Document Import Processor (11.0)"" ",
DISCOVERY,Discovery,"""DISCOVERY"":""Discovery"" ",
Discovery/NNCDB,Discovery/NNCDB,"""Discovery/NNCDB"":""Discovery/NNCDB"" ",
Distressed Batch,Distressed Batch,"""Distressed Batch"":""Distressed Batch"" ",
Diversified Brands Division,Diversified Brands Division,"""Diversified Brands Division"":""Diversified Brands Division"" ",
Division,Division,"""Division"":""Division"" ",
DIY,Do-It-Yourselfer or Homeowner,"""DIY"":""Do-It-Yourselfer or Homeowner"" ",
DKT,Document Knowledge Transfer (11.0) ,"""DKT"":""Document Knowledge Transfer (11.0) "" ",
DL,Delta Lightness,"""DL"":""Delta Lightness"" ",
DM,Demand Management,"""DM"":""Demand Management"" ",
DMADV,"Define, Measure, Analyze, Design, and Verify","""DMADV"":""Define, Measure, Analyze, Design, and Verify"" ",
DMAIC,"Define, Measure, Analyze, Improve, and Verify","""DMAIC"":""Define, Measure, Analyze, Improve, and Verify"" ",
DMI,Data Mart,"""DMI"":""Data Mart"" ",
DMI,Daily Maintenance Intelligence Reports,"""DMI"":""Daily Maintenance Intelligence Reports"" ",
DMO,Data Maintenance Organization,"""DMO"":""Data Maintenance Organization"" ",
DMZ,De-Militarized Zone,"""DMZ"":""De-Militarized Zone"" ",
DNEL,Derived No-Effect Level,"""DNEL"":""Derived No-Effect Level"" ",
DNR,Department of Natural Resources,"""DNR"":""Department of Natural Resources"" ",
DNRC,Department of Natural Resources and Conservation,"""DNRC"":""Department of Natural Resources and Conservation"" ",
DNS,Domain Name System,"""DNS"":""Domain Name System"" ",
DocComp,Document Composition (11.0) ,"""DocComp"":""Document Composition (11.0) "" ",
DocImport,Document Importer,"""DocImport"":""Document Importer"" ",
DocPOP,Document POP,"""DocPOP"":""Document POP"" ",
DocType,Document Type,"""DocType"":""Document Type"" ",
DocTypeGroup,Document Type Group,"""DocTypeGroup"":""Document Type Group"" ",
DocTypeGrp,Document Type Group,"""DocTypeGrp"":""Document Type Group"" ",
Document Composition,OnBase Document Composition (11.0) ,"""Document Composition"":""OnBase Document Composition (11.0) "" ",
DOE,Design of Experiments,"""DOE"":""Design of Experiments"" ",
DOE,Direct Order Entry,"""DOE"":""Direct Order Entry"" ",
DOT,Department of Transportation,"""DOT"":""Department of Transportation"" ",
DP,Development Process,"""DP"":""Development Process"" ",
DPE,Dopeler Effect,"""DPE"":""Dopeler Effect"" ",
DPMO,Defects Per Million Opportunities,"""DPMO"":""Defects Per Million Opportunities"" ",
DPTO,Defects Per Thousand Orders,"""DPTO"":""Defects Per Thousand Orders"" ",
DR,Disaster Recovery,"""DR"":""Disaster Recovery"" ",
DRA,Directory Resource Administrator,"""DRA"":""Directory Resource Administrator"" ",
DRE,Destruction and Removal Efficiency,"""DRE"":""Destruction and Removal Efficiency"" ",
DRG,Oracle Data Relationship Governance,"""DRG"":""Oracle Data Relationship Governance"" ",
DRM,Oracle Data Relation Management,"""DRM"":""Oracle Data Relation Management"" ",
DRP,Disaster Recovery Plan,"""DRP"":""Disaster Recovery Plan"" ",
DRP,Distribution Requirements Planning Purchasing,"""DRP"":""Distribution Requirements Planning Purchasing"" ",
DSC,Distribution Service Centers,"""DSC"":""Distribution Service Centers"" ",
DSO,Daily Sales Outstanding,"""DSO"":""Daily Sales Outstanding"" ",
DT ,Destructive Testing,"""DT "":""Destructive Testing"" ",
DTO,Do The Obvious,"""DTO"":""Do The Obvious"" ",
DV,Design Verification,"""DV"":""Design Verification"" ",
DVCS,Distributed Version Control Software,"""DVCS"":""Distributed Version Control Software"" ",
DVW,Design Validation Workshop,"""DVW"":""Design Validation Workshop"" ",
DYB,Delta Yellow Blue,"""DYB"":""Delta Yellow Blue"" ",
EA,Eastern,"""EA"":""Eastern"" ",
EAD,Eastern Division,"""EAD"":""Eastern Division"" ",
eAM,Enterprise Asset Management,"""eAM"":""Enterprise Asset Management"" ",
EARA,Environmental Auditors Registration Association (now IMEA),"""EARA"":""Environmental Auditors Registration Association (now IMEA)"" ",
EAS Console,Essbase Administration Service Console,"""EAS Console"":""Essbase Administration Service Console"" ",
East Region,East Region,"""East Region"":""East Region"" ",
EBOL,Electronic Bill of Lading,"""EBOL"":""Electronic Bill of Lading"" ",
EBR,Electronic Bench Record,"""EBR"":""Electronic Bench Record"" ",
EBS,eBusiness Suite,"""EBS"":""eBusiness Suite"" ",
eBS,e Business Suite,"""eBS"":""e Business Suite"" ",
EC,EC Numbers,"""EC"":""EC Numbers"" ",
ECAO,Environmental Criteria and Assessment Office,"""ECAO"":""Environmental Criteria and Assessment Office"" ",
ECCS,Emergency Core Cooling System,"""ECCS"":""Emergency Core Cooling System"" ",
ECHA,European Chemicals Agency,"""ECHA"":""European Chemicals Agency"" ",
ECM,Enterprise Content Management,"""ECM"":""Enterprise Content Management"" ",
ECN,Engineering Change Notice,"""ECN"":""Engineering Change Notice"" ",
ECO,Engineering Change Order,"""ECO"":""Engineering Change Order"" ",
EcoMet,EcoMet,"""EcoMet"":""EcoMet"" ",
eCOMMIT,eCOMMIT,"""eCOMMIT"":""eCOMMIT"" ",
eCommit , Lotus Notes-based,"""eCommit "":"" Lotus Notes-based"" ",
eCopy Trace Log,eCopy Trace Log,"""eCopy Trace Log"":""eCopy Trace Log"" ",
EcoVision,EcoVision,"""EcoVision"":""EcoVision"" ",
ECR,Engineering Change Request/Release,"""ECR"":""Engineering Change Request/Release"" ",
EDA,Employee Direct Access,"""EDA"":""Employee Direct Access"" ",
EDI,Electronic Data Interchange,"""EDI"":""Electronic Data Interchange"" ",
EDIFACT,"Electronic Data Interchange For Administration, Commerce, and Transport","""EDIFACT"":""Electronic Data Interchange For Administration, Commerce, and Transport"" ",
EDIFECT INVRPT,EDI FECT Inventory Report,"""EDIFECT INVRPT"":""EDI FECT Inventory Report"" ",
EDIINT,EDI over the INTernet,"""EDIINT"":""EDI over the INTernet"" ",
EDMS,Electronic Data Management System,"""EDMS"":""Electronic Data Management System"" ",
EDS,Electronic Data Sheet,"""EDS"":""Electronic Data Sheet"" ",
EE,Eligible Employee,"""EE"":""Eligible Employee"" ",
EEX,Environmental Excellence,"""EEX"":""Environmental Excellence"" ",
eFCA,Electronic Fixed Capital Appropriation ,"""eFCA"":""Electronic Fixed Capital Appropriation "" ",
eForm,eForms (11.0),"""eForm"":""eForms (11.0)"" ",
eFORM,eFORM,"""eFORM"":""eFORM"" ",
EGWP,Employee Group Waiver Plan,"""EGWP"":""Employee Group Waiver Plan"" ",
EH & RS,Environmental Health & Regulatory Services,"""EH & RS"":""Environmental Health & Regulatory Services"" ",
EHRS,Environmental Health Regulatory Services Regulatory,"""EHRS"":""Environmental Health Regulatory Services Regulatory"" ",
EHS,Environmental Health Services,"""EHS"":""Environmental Health Services"" ",
EHS&S,Environmental Health Safety & Sustainability,"""EHS&S"":""Environmental Health Safety & Sustainability"" ",
EHSMS,Environmental Health & Safety Management System,"""EHSMS"":""Environmental Health & Safety Management System"" ",
EI,Employee Insurance,"""EI"":""Employee Insurance"" ",
EI,External Innovation,"""EI"":""External Innovation"" ",
EID,Employee Identification Number in LDAP,"""EID"":""Employee Identification Number in LDAP"" ",
EIID,Element Identifier,"""EIID"":""Element Identifier"" ",
EIS,Executive Information System,"""EIS"":""Executive Information System"" ",
EISL,Expansion Inter Site Link,"""EISL"":""Expansion Inter Site Link"" ",
ELID,Element Identifier,"""ELID"":""Element Identifier"" ",
ELMS,Electronic Legal Management System,"""ELMS"":""Electronic Legal Management System"" ",
EM,Enterprise Management,"""EM"":""Enterprise Management"" ",
EM,Emerging Markets,"""EM"":""Emerging Markets"" ",
EMEA,"Europe, Middle East, & Africa","""EMEA"":""Europe, Middle East, & Africa"" ",
EMEA,"Europe, Middle East, & Africa","""EMEA"":""Europe, Middle East, & Africa"" ",
Emerging Markets,Emerging Markets,"""Emerging Markets"":""Emerging Markets"" ",
EMMA,Expired Materials Management,"""EMMA"":""Expired Materials Management"" ",
EMP,Environmental Management Plan,"""EMP"":""Environmental Management Plan"" ",
EMS,Environmental Management System,"""EMS"":""Environmental Management System"" ",
Eng Project Summary,Eng Project Summary,"""Eng Project Summary"":""Eng Project Summary"" ",
EOCA,European Organization for Conformity Assessment,"""EOCA"":""European Organization for Conformity Assessment"" ",
EOM,End Of Month,"""EOM"":""End Of Month"" ",
EOY,End Of Year,"""EOY"":""End Of Year"" ",
EPA,Environment Protection Agency,"""EPA"":""Environment Protection Agency"" ",
EPCRA,Emergency Planning and Community Right-to-know Act,"""EPCRA"":""Emergency Planning and Community Right-to-know Act"" ",
ePIC,electronic Prior Informed Consent,"""ePIC"":""electronic Prior Informed Consent"" ",
EPM,Enterprise Performance Management,"""EPM"":""Enterprise Performance Management"" ",
EPM SCM,Supply Chain Management application in EPM Cloud,"""EPM SCM"":""Supply Chain Management application in EPM Cloud"" ",
EPRI,Electric Power Research Institute,"""EPRI"":""Electric Power Research Institute"" ",
EPS,Engineered Polymer Solutions,"""EPS"":""Engineered Polymer Solutions"" ",
EPS,Engineered Polymer Science,"""EPS"":""Engineered Polymer Science"" ",
EPS,Engineering Project Summary,"""EPS"":""Engineering Project Summary"" ",
EPSP,Employee Purchase Savings Plan,"""EPSP"":""Employee Purchase Savings Plan"" ",
ERC,Emergency Response Coordinator,"""ERC"":""Emergency Response Coordinator"" ",
ERG,Emergency Response Guidebook,"""ERG"":""Emergency Response Guidebook"" ",
ERIS,Employee Relations Issue System,"""ERIS"":""Employee Relations Issue System"" ",
ERP,Enterprise Resource Planning,"""ERP"":""Enterprise Resource Planning"" ",
ES,Exposure Scenario,"""ES"":""Exposure Scenario"" ",
ESD,Electrostatic Discharge,"""ESD"":""Electrostatic Discharge"" ",
ESL,End Service Layer,"""ESL"":""End Service Layer"" ",
Essbase,Extended Spread Sheet Database,"""Essbase"":""Extended Spread Sheet Database"" ",
E-Stop,Emergency Stop,"""E-Stop"":""Emergency Stop"" ",
ETA,Estimated Time Arrival,"""ETA"":""Estimated Time Arrival"" ",
ETL,Extract Transformation Load,"""ETL"":""Extract Transformation Load"" ",
ETRAC,Electronic Tracking of Returns And Credits,"""ETRAC"":""Electronic Tracking of Returns And Credits"" ",
EU,European Union,"""EU"":""European Union"" ",
EVDO,EVDO,"""EVDO"":""EVDO"" ",
EVOP,Evolutionary Operations,"""EVOP"":""Evolutionary Operations"" ",
EWMA,Exponentially Weighted Moving Averages,"""EWMA"":""Exponentially Weighted Moving Averages"" ",
Excellence Initiatives,Excellence Initiatives,"""Excellence Initiatives"":""Excellence Initiatives"" ",
Exceptions to Policy,Exceptions to Policy,"""Exceptions to Policy"":""Exceptions to Policy"" ",
EXIS,Expert Information Systems,"""EXIS"":""Expert Information Systems"" ",
Exis ,Exis ,"""Exis "":""Exis "" ",
EXLA,Estes Express,"""EXLA"":""Estes Express"" ",
Expedite Request,Expedite Request,"""Expedite Request"":""Expedite Request"" ",
Export,Export (11.0) ,"""Export"":""Export (11.0) "" ",
F/T,Freeze Thaw,"""F/T"":""Freeze Thaw"" ",
FA ,Fixed Assets,"""FA "":""Fixed Assets"" ",
FACTS,Financial Analysis Control & Tracking System,"""FACTS"":""Financial Analysis Control & Tracking System"" ",
FAS,Field Audit Supervisor,"""FAS"":""Field Audit Supervisor"" ",
FAST,Fully Automated Storage Tiering,"""FAST"":""Fully Automated Storage Tiering"" ",
FCA,Fixed Capital Authorization,"""FCA"":""Fixed Capital Authorization"" ",
FCCS,Financial Consolidation and Close Cloud Service,"""FCCS"":""Financial Consolidation and Close Cloud Service"" ",
FCN,Food Contact Notification,"""FCN"":""Food Contact Notification"" ",
FCS,Facility Control Systems,"""FCS"":""Facility Control Systems"" ",
FD,Field Destroy,"""FD"":""Field Destroy"" ",
FDMEE,"Oracle Hyperion Financial Data Quality Management, Enterprise Edition","""FDMEE"":""Oracle Hyperion Financial Data Quality Management, Enterprise Edition"" ",
FDO,Ft Dearborn Orders,"""FDO"":""Ft Dearborn Orders"" ",
FE,Financial Excellence,"""FE"":""Financial Excellence"" ",
FEA,Finite Element Analysis,"""FEA"":""Finite Element Analysis"" ",
FEITH,FEITH,"""FEITH"":""FEITH"" ",
FES,Federal Engineering Systems,"""FES"":""Federal Engineering Systems"" ",
FF,Freight Forwarders,"""FF"":""Freight Forwarders"" ",
FGOB,Finished Good Outside Buy,"""FGOB"":""Finished Good Outside Buy"" ",
FHA Loan,Federal Housing Authority Loan,"""FHA Loan"":""Federal Housing Authority Loan"" ",
FIFO,"First In, First Out","""FIFO"":""First In, First Out"" ",
FIFRA,Federal Insecticide Fungicide and Rodenticide Act,"""FIFRA"":""Federal Insecticide Fungicide and Rodenticide Act"" ",
File Format,File Format,"""File Format"":""File Format"" ",
Fill,Fill,"""Fill"":""Fill"" ",
Fill line efficiency,Fill line efficiency,"""Fill line efficiency"":""Fill line efficiency"" ",
Fill Lot,Fill Lot,"""Fill Lot"":""Fill Lot"" ",
Fill Rex,Fill Rex,"""Fill Rex"":""Fill Rex"" ",
FIM,Forecast Index Model,"""FIM"":""Forecast Index Model"" ",
Financial Adjustments,Financial Adjustments,"""Financial Adjustments"":""Financial Adjustments"" ",
Financial Creation,Financial Creation,"""Financial Creation"":""Financial Creation"" ",
Financial Creation Delays,Financial Creation Delays,"""Financial Creation Delays"":""Financial Creation Delays"" ",
Financial Excellence,Financial Excellence,"""Financial Excellence"":""Financial Excellence"" ",
Financial Mapping Delays,Financial Mapping Delays,"""Financial Mapping Delays"":""Financial Mapping Delays"" ",
Financial Transactions,Financial Transactions,"""Financial Transactions"":""Financial Transactions"" ",
FIPS,Federal Information Processing Standards codes,"""FIPS"":""Federal Information Processing Standards codes"" ",
Firefox,Firefox,"""Firefox"":""Firefox"" ",
FL,Fill Lot,"""FL"":""Fill Lot"" ",
Flash,Flash,"""Flash"":""Flash"" ",
FLASH,FLASH  ,"""FLASH"":""FLASH  "" ",
FLE,Fill Line Efficiency,"""FLE"":""Fill Line Efficiency"" ",
FLM,Fill Line Manager,"""FLM"":""Fill Line Manager"" ",
FLP,Fill Line Putaway,"""FLP"":""Fill Line Putaway"" ",
FLPT,Flash Point,"""FLPT"":""Flash Point"" ",
FM,Field Monitors ,"""FM"":""Field Monitors "" ",
FM,Functional Manager,"""FM"":""Functional Manager"" ",
FMAP,Formula Manufacturing Assurance Program,"""FMAP"":""Formula Manufacturing Assurance Program"" ",
FMEA,Failure Mode & Effect Analysis,"""FMEA"":""Failure Mode & Effect Analysis"" ",
FMLA,FMLA,"""FMLA"":""FMLA"" ",
FN,Foreign National,"""FN"":""Foreign National"" ",
FOC,Ford of Canada,"""FOC"":""Ford of Canada"" ",
Focus Areas,Focus Areas,"""Focus Areas"":""Focus Areas"" ",
FOLDER POP,FOLDER POP,"""FOLDER POP"":""FOLDER POP"" ",
FolderPOP,FolderPOP,"""FolderPOP"":""FolderPOP"" ",
FOS,FOS,"""FOS"":""FOS"" ",
FP,Flash Point ,"""FP"":""Flash Point "" ",
FPC,Factory Package Color,"""FPC"":""Factory Package Color"" ",
FR,Federal Register,"""FR"":""Federal Register"" ",
FR,Fill Rex,"""FR"":""Fill Rex"" ",
FRA,"Federal Insecticide, Fungicide, Rodenticide Act ","""FRA"":""Federal Insecticide, Fungicide, Rodenticide Act "" ",
FRS,Financial Reporting Studio,"""FRS"":""Financial Reporting Studio"" ",
FS,Forecasted Stock,"""FS"":""Forecasted Stock"" ",
FSAH,Financial Services Accounting Hub,"""FSAH"":""Financial Services Accounting Hub"" ",
FSG,Financial Statement Generator,"""FSG"":""Financial Statement Generator"" ",
FSO,Facility Site Organizer,"""FSO"":""Facility Site Organizer"" ",
FSS,Financial Shared Services,"""FSS"":""Financial Shared Services"" ",
FTA,Fault Tree Analysis,"""FTA"":""Fault Tree Analysis"" ",
FTE,Full Time Employee,"""FTE"":""Full Time Employee"" ",
FTP,File Transfer Protocol,"""FTP"":""File Transfer Protocol"" ",
FTS,Field Technical Sales,"""FTS"":""Field Technical Sales"" ",
FTT,First Time Through,"""FTT"":""First Time Through"" ",
FTY,First Time Yield,"""FTY"":""First Time Yield"" ",
FVO,Full Buyout Value,"""FVO"":""Full Buyout Value"" ",
FWT,FWT,"""FWT"":""FWT"" ",
GB,Green Belt,"""GB"":""Green Belt"" ",
GBMS,Global Business Management System Quality,"""GBMS"":""Global Business Management System Quality"" ",
GBS,Global Business Service,"""GBS"":""Global Business Service"" ",
GCOC,General Certification of Conformity,"""GCOC"":""General Certification of Conformity"" ",
GD&T,Geometric Dimensioning and Tolerancing,"""GD&T"":""Geometric Dimensioning and Tolerancing"" ",
GDB,GDB,"""GDB"":""GDB"" ",
GEC,Global Electronic Commerce,"""GEC"":""Global Electronic Commerce"" ",
GEMS,Global Employee Management System,"""GEMS"":""Global Employee Management System"" ",
General Polymers,General Polymers,"""General Polymers"":""General Polymers"" ",
Geocel,Geocel,"""Geocel"":""Geocel"" ",
GERP,Global Enterprise Resource Planning,"""GERP"":""Global Enterprise Resource Planning"" ",
GERT,Graphical Evaluation and Review Technique,"""GERT"":""Graphical Evaluation and Review Technique"" ",
GFG,Global Finishes Group,"""GFG"":""Global Finishes Group"" ",
GFP,Global Footprint,"""GFP"":""Global Footprint"" ",
GHD,Global Help Desk,"""GHD"":""Global Help Desk"" ",
GHS,Globally Harmonized System,"""GHS"":""Globally Harmonized System"" ",
GI,General Industrial Division,"""GI"":""General Industrial Division"" ",
GID,Gems Employee ID,"""GID"":""Gems Employee ID"" ",
GIMP,GIMP,"""GIMP"":""GIMP"" ",
GIS,Gentran Information Suite,"""GIS"":""Gentran Information Suite"" ",
GL, General Ledger,"""GL"":"" General Ledger"" ",
GLM,General Linear Modeling,"""GLM"":""General Linear Modeling"" ",
GLP,Good Laboratory Practices ,"""GLP"":""Good Laboratory Practices "" ",
GMP,Good Manufacturing Practice,"""GMP"":""Good Manufacturing Practice"" ",
GMSPO,General Motors Special Purchase Order,"""GMSPO"":""General Motors Special Purchase Order"" ",
GOM,Goods of Manufacture,"""GOM"":""Goods of Manufacture"" ",
Good Faith Estimate,Good Faith Estimate,"""Good Faith Estimate"":""Good Faith Estimate"" ",
GP,Generic Paint,"""GP"":""Generic Paint"" ",
GPA,Group Policy Admin,"""GPA"":""Group Policy Admin"" ",
GPL,General Public License,"""GPL"":""General Public License"" ",
GPM,Graphic Process Modeler,"""GPM"":""Graphic Process Modeler"" ",
GPO,Group Policy Objects,"""GPO"":""Group Policy Objects"" ",
GPS,Global Planning System,"""GPS"":""Global Planning System"" ",
GR&R,Gage repeatability and reproducibility,"""GR&R"":""Gage repeatability and reproducibility"" ",
GRC,"Governance, Risk, Compliance","""GRC"":""Governance, Risk, Compliance"" ",
GRE,Governance Report Entity,"""GRE"":""Governance Report Entity"" ",
Green,Green,"""Green"":""Green"" ",
GREEN,GREEN  ,"""GREEN"":""GREEN  "" ",
Gross,Gross,"""Gross"":""Gross"" ",
GRPC,Global Regulatory Product Compliance,"""GRPC"":""Global Regulatory Product Compliance"" ",
GSA,General Services Administration,"""GSA"":""General Services Administration"" ",
GSC,Global Supply Chain Division,"""GSC"":""Global Supply Chain Division"" ",
GSC Regions,GSC Regions,"""GSC Regions"":""GSC Regions"" ",
GSC REGIONS,GSC REGIONS,"""GSC REGIONS"":""GSC REGIONS"" ",
GSI,Global Single Instance,"""GSI"":""Global Single Instance"" ",
GTM,Global Traffic Manager,"""GTM"":""Global Traffic Manager"" ",
GUI,Graphical User Interface,"""GUI"":""Graphical User Interface"" ",
H-1B,H-1B,"""H-1B"":""H-1B"" ",
HALS,H Automated Label System,"""HALS"":""H Automated Label System"" ",
HAP,Hazardous Air Pollutant,"""HAP"":""Hazardous Air Pollutant"" ",
HAZMAT,Hazardous Materials,"""HAZMAT"":""Hazardous Materials"" ",
HD,Help Desk,"""HD"":""Help Desk"" ",
HEARS,Health Environmental and Regulatory System,"""HEARS"":""Health Environmental and Regulatory System"" ",
Helper App,Helper App,"""Helper App"":""Helper App"" ",
HEQ,Hard Equipment,"""HEQ"":""Hard Equipment"" ",
HFM,Oracle Hyperion Financial Management,"""HFM"":""Oracle Hyperion Financial Management"" ",
HHG,House Hold Goods,"""HHG"":""House Hold Goods"" ",
Hi-Lift,Hi-Lift,"""Hi-Lift"":""Hi-Lift"" ",
HIS,HIS,"""HIS"":""HIS"" ",
HK ,House Keeping ,"""HK "":""House Keeping "" ",
HKE,HouseKeeping Excellence: Part of the onsite Safety Initiative (see section on Housekeeping Excellence),"""HKE"":""HouseKeeping Excellence: Part of the onsite Safety Initiative (see section on Housekeeping Excellence)"" ",
HMES,Holland,"""HMES"":""Holland"" ",
HMIS,Hazardous Materials Identification System,"""HMIS"":""Hazardous Materials Identification System"" ",
HMR,Hazardous Materials Regulations,"""HMR"":""Hazardous Materials Regulations"" ",
HN,Help Needed,"""HN"":""Help Needed"" ",
HOTW,HEARS On The Web,"""HOTW"":""HEARS On The Web"" ",
HOW,HEARS On Web,"""HOW"":""HEARS On Web"" ",
HP,Hewlett-Packard,"""HP"":""Hewlett-Packard"" ",
HQ , Headquarters,"""HQ "":"" Headquarters"" ",
HR Connect,HR version of Remedy,"""HR Connect"":""HR version of Remedy"" ",
HRA,Human Resource Administration,"""HRA"":""Human Resource Administration"" ",
HRC,HighRadius Cash Application Cloud,"""HRC"":""HighRadius Cash Application Cloud"" ",
HRMS,Human Resource Management System,"""HRMS"":""Human Resource Management System"" ",
HRPR,Human Resource Policy Review,"""HRPR"":""Human Resource Policy Review"" ",
HSD,HSD,"""HSD"":""HSD"" ",
HSE,"Health, Safety & Environmental","""HSE"":""Health, Safety & Environmental"" ",
HSWA,Hazardous and Solid Waste Amendments of 1984,"""HSWA"":""Hazardous and Solid Waste Amendments of 1984"" ",
HTC,Harmonized Tariff Code,"""HTC"":""Harmonized Tariff Code"" ",
HTML,Hypertext Markup Language,"""HTML"":""Hypertext Markup Language"" ",
HTS,Harmonized Tariff Schedule,"""HTS"":""Harmonized Tariff Schedule"" ",
HTTP,Hypertext Transfer Protocol,"""HTTP"":""Hypertext Transfer Protocol"" ",
HUD,Heads-up Displays,"""HUD"":""Heads-up Displays"" ",
HUD - 1,Housing Urban Development - 1,"""HUD - 1"":""Housing Urban Development - 1"" ",
Human-Computer Interaction,Human-Computer Interaction,"""Human-Computer Interaction"":""Human-Computer Interaction"" ",
Hyperion, Financial reporting tool,"""Hyperion"":"" Financial reporting tool"" ",
HYPERION,HYPERION,"""HYPERION"":""HYPERION"" ",
I/W,Inter Warehouse,"""I/W"":""Inter Warehouse"" ",
I-140,I-140,"""I-140"":""I-140"" ",
i2,GSC Supply Chain software,"""i2"":""GSC Supply Chain software"" ",
i2 AP,i2 Associated Products,"""i2 AP"":""i2 Associated Products"" ",
i2 DM,i2 Demand Manager,"""i2 DM"":""i2 Demand Manager"" ",
i2 SCP,i2 Supply Chain Planning,"""i2 SCP"":""i2 Supply Chain Planning"" ",
IA,Intelligent Authoring,"""IA"":""Intelligent Authoring"" ",
IAEA,International Atomic Energy Agency,"""IAEA"":""International Atomic Energy Agency"" ",
IAF,International Accreditaion Forum,"""IAF"":""International Accreditaion Forum"" ",
IAFRM,I Accounting Financial R M - Hyland tool,"""IAFRM"":""I Accounting Financial R M - Hyland tool"" ",
IAM,Identity Access Management,"""IAM"":""Identity Access Management"" ",
IAQ,Indoor Air Quality,"""IAQ"":""Indoor Air Quality"" ",
IAQG,International Aerospace Quality Group,"""IAQG"":""International Aerospace Quality Group"" ",
IARC,International Agency for Research on Carcinogens,"""IARC"":""International Agency for Research on Carcinogens"" ",
IAS,International Accreditation Services,"""IAS"":""International Accreditation Services"" ",
IATA,IATA,"""IATA"":""IATA"" ",
